"EmployeeID","MonthlyIncome","JobRole","TotalWorkingYears","Gender","Age","Education Level"
"26304","6690","Healthcare","2","Female","25","Associate Degree"
"33177","8397","Healthcare","3","Female","25","Bachelor’s Degree"
"70003","9775","Technology","8","Male","36","Bachelor’s Degree"
"63046","5586","Media","28","Male","41","Associate Degree"
"30924","9355","Healthcare","6","Female","55","Bachelor’s Degree"
"5254","7976","Technology","18","Female","48","High School"
"33430","6356","Media","11","Male","21","Associate Degree"
"67450","5967","Media","21","Male","34","Bachelor’s Degree"
"66579","10111","Technology","12","Female","28","High School"
"54104","8673","Finance","3","Male","26","Associate Degree"
"18361","5040","Education","22","Male","47","High School"
"4098","9894","Technology","22","Female","30","Associate Degree"
"27742","6785","Technology","13","Male","24","Bachelor’s Degree"
"1591","7368","Finance","2","Female","23","Master’s Degree"
"27451","5154","Media","34","Male","52","High School"
"58305","8407","Healthcare","16","Male","51","Bachelor’s Degree"
"19684","4195","Education","21","Male","50","Bachelor’s Degree"
"9392","4451","Education","6","Male","45","High School"
"18598","10122","Technology","11","Female","31","Bachelor’s Degree"
"70231","7303","Finance","35","Male","50","High School"
"65665","7946","Finance","8","Male","29","Associate Degree"
"64242","6026","Finance","14","Male","27","Bachelor’s Degree"
"23287","10135","Technology","1","Male","48","Bachelor’s Degree"
"12556","8631","Healthcare","24","Male","47","Bachelor’s Degree"
"68364","4431","Education","11","Female","41","Associate Degree"
"31457","3598","Education","2","Female","53","Associate Degree"
"14169","7949","Healthcare","2","Female","37","High School"
"43193","7967","Healthcare","10","Female","21","Master’s Degree"
"67257","8876","Healthcare","23","Female","53","High School"
"52985","6628","Media","28","Female","45","Bachelor’s Degree"
"31826","8340","Healthcare","9","Male","49","Bachelor’s Degree"
"64500","10080","Finance","22","Male","37","Bachelor’s Degree"
"24841","8860","Finance","9","Male","39","Bachelor’s Degree"
"62882","5678","Media","17","Male","27","Bachelor’s Degree"
"7424","8683","Technology","14","Male","58","Bachelor’s Degree"
"9870","4042","Education","2","Female","49","Associate Degree"
"6688","9737","Technology","24","Male","54","Bachelor’s Degree"
"3625","5246","Education","18","Male","38","Master’s Degree"
"66157","10141","Finance","1","Female","19","Bachelor’s Degree"
"46550","9033","Technology","34","Male","43","High School"
"60485","5397","Media","10","Male","30","Bachelor’s Degree"
"26078","6135","Healthcare","19","Male","31","PhD"
"13319","7063","Healthcare","28","Male","47","Associate Degree"
"65739","6940","Media","40","Female","58","Bachelor’s Degree"
"43732","4733","Education","17","Male","40","PhD"
"45545","7625","Healthcare","17","Male","35","Bachelor’s Degree"
"72101","6640","Technology","2","Female","31","Associate Degree"
"46992","7287","Technology","8","Male","31","Master’s Degree"
"54577","6993","Healthcare","5","Male","40","High School"
"23371","12041","Finance","22","Female","49","PhD"
"41178","6534","Finance","1","Female","33","Master’s Degree"
"17004","7529","Healthcare","15","Male","52","Bachelor’s Degree"
"18068","4421","Finance","12","Male","51","Master’s Degree"
"19252","9197","Technology","11","Female","27","High School"
"65212","8762","Healthcare","6","Male","58","Bachelor’s Degree"
"36263","8744","Technology","7","Female","42","High School"
"23691","7406","Healthcare","3","Male","26","Associate Degree"
"20242","6099","Media","7","Female","37","Bachelor’s Degree"
"52881","9626","Technology","13","Male","55","Bachelor’s Degree"
"32705","10298","Technology","6","Female","46","Bachelor’s Degree"
"71450","8972","Technology","2","Male","41","Master’s Degree"
"29475","9501","Technology","14","Female","58","Bachelor’s Degree"
"34465","4023","Education","22","Female","40","Master’s Degree"
"21012","8332","Finance","41","Male","53","Master’s Degree"
"42659","4237","Education","9","Female","46","Bachelor’s Degree"
"47934","6437","Education","9","Male","45","Associate Degree"
"71441","6690","Healthcare","32","Male","56","High School"
"63893","7038","Technology","11","Male","23","Associate Degree"
"29637","9177","Healthcare","40","Male","55","Associate Degree"
"38110","8761","Technology","19","Female","48","High School"
"70639","5428","Media","24","Male","47","Associate Degree"
"8021","7859","Healthcare","8","Female","26","High School"
"28368","10298","Technology","4","Male","21","High School"
"575","7430","Healthcare","13","Male","44","Associate Degree"
"49959","4573","Education","2","Male","24","Bachelor’s Degree"
"72401","9434","Technology","13","Male","31","Bachelor’s Degree"
"24980","4583","Finance","24","Female","45","Associate Degree"
"11385","7979","Healthcare","3","Male","19","High School"
"4856","10166","Technology","30","Female","59","Associate Degree"
"14265","5316","Media","35","Male","50","Bachelor’s Degree"
"370","10030","Technology","45","Male","59","High School"
"25774","8736","Healthcare","2","Male","54","Associate Degree"
"53105","6929","Healthcare","39","Female","58","Associate Degree"
"40919","10167","Healthcare","2","Male","21","Associate Degree"
"63135","9063","Healthcare","16","Male","51","Associate Degree"
"65852","8926","Healthcare","20","Female","45","High School"
"32413","3204","Education","15","Female","30","Bachelor’s Degree"
"71343","9306","Finance","11","Female","29","Master’s Degree"
"27498","4862","Education","43","Male","59","Associate Degree"
"57482","7576","Technology","26","Female","35","High School"
"38163","11735","Finance","29","Female","40","Associate Degree"
"55188","6453","Media","2","Male","20","Associate Degree"
"43292","7359","Technology","18","Male","50","Associate Degree"
"72087","7838","Healthcare","35","Male","44","Associate Degree"
"23689","10943","Technology","3","Female","20","Associate Degree"
"41073","10513","Finance","20","Male","28","Bachelor’s Degree"
"24229","6669","Healthcare","6","Male","28","PhD"
"26101","8309","Technology","17","Male","36","Associate Degree"
"18495","6426","Media","4","Male","40","Bachelor’s Degree"
"70389","8423","Healthcare","46","Female","56","Master’s Degree"
"13011","8723","Technology","1","Male","47","High School"
"34213","9152","Healthcare","13","Male","21","Bachelor’s Degree"
"1115","8546","Technology","7","Female","18","High School"
"68988","5797","Media","13","Female","22","PhD"
"36546","3625","Education","19","Male","52","High School"
"12809","8048","Finance","36","Male","44","High School"
"46298","4205","Education","26","Male","42","Master’s Degree"
"37508","4373","Education","41","Male","53","Master’s Degree"
"51580","6925","Finance","2","Male","22","Associate Degree"
"43465","8299","Healthcare","38","Male","50","Bachelor’s Degree"
"36678","11556","Technology","40","Female","56","PhD"
"41684","5820","Media","10","Male","42","High School"
"70584","7631","Technology","6","Male","18","Master’s Degree"
"19528","5891","Media","3","Male","39","High School"
"69121","8376","Finance","9","Female","22","High School"
"18487","6185","Media","3","Male","28","Associate Degree"
"20960","6467","Healthcare","13","Female","47","Bachelor’s Degree"
"4392","6954","Finance","6","Female","56","Bachelor’s Degree"
"6112","7647","Technology","33","Female","51","High School"
"40908","7440","Healthcare","43","Female","55","High School"
"53019","8883","Healthcare","38","Male","56","Master’s Degree"
"19879","5652","Education","8","Male","24","High School"
"63588","7376","Finance","5","Male","26","Bachelor’s Degree"
"58518","7306","Technology","26","Male","52","High School"
"62060","10006","Finance","42","Male","54","Master’s Degree"
"1127","11421","Technology","6","Male","45","Bachelor’s Degree"
"59154","8161","Healthcare","9","Male","20","Bachelor’s Degree"
"37737","3755","Education","10","Male","51","High School"
"8386","5405","Media","22","Male","51","Master’s Degree"
"45849","4113","Education","32","Male","59","Master’s Degree"
"61853","6008","Media","38","Male","47","High School"
"37320","6363","Media","2","Male","58","High School"
"29497","5980","Media","27","Female","40","PhD"
"3777","5475","Media","10","Female","45","High School"
"62193","6160","Media","7","Female","38","Bachelor’s Degree"
"50742","6336","Media","9","Male","29","Bachelor’s Degree"
"65915","6243","Media","29","Female","41","Bachelor’s Degree"
"51389","5733","Media","14","Male","38","Bachelor’s Degree"
"48390","8988","Technology","16","Female","51","High School"
"27698","5744","Media","22","Female","38","Associate Degree"
"35432","6555","Finance","14","Female","46","Master’s Degree"
"59888","7633","Technology","23","Male","53","Bachelor’s Degree"
"32936","4724","Education","26","Male","41","Bachelor’s Degree"
"46731","9892","Technology","4","Male","28","Associate Degree"
"5437","10220","Technology","6","Male","34","Associate Degree"
"38452","2386","Education","12","Male","33","Bachelor’s Degree"
"1744","10903","Finance","25","Male","38","Associate Degree"
"13298","6139","Media","19","Male","52","Master’s Degree"
"62811","4410","Education","11","Male","19","Bachelor’s Degree"
"21924","6977","Technology","17","Male","46","Associate Degree"
"21668","9249","Finance","12","Female","27","Bachelor’s Degree"
"2631","8328","Healthcare","40","Male","59","Associate Degree"
"26369","8331","Healthcare","44","Female","58","Associate Degree"
"9740","7639","Technology","42","Male","50","High School"
"63053","11164","Technology","31","Female","48","High School"
"10997","8580","Technology","18","Male","57","Bachelor’s Degree"
"48313","8113","Healthcare","30","Male","50","High School"
"32586","9117","Healthcare","5","Male","22","Bachelor’s Degree"
"48664","8571","Technology","6","Male","28","Associate Degree"
"40055","9016","Finance","6","Female","19","Master’s Degree"
"33249","9128","Technology","16","Female","47","PhD"
"12148","9380","Technology","19","Male","33","PhD"
"25555","8143","Technology","14","Female","31","Associate Degree"
"67005","8268","Healthcare","5","Male","26","Master’s Degree"
"32739","7345","Healthcare","28","Male","51","High School"
"72993","10286","Technology","34","Male","44","High School"
"56992","4281","Education","20","Male","30","High School"
"39770","12985","Finance","8","Male","55","Master’s Degree"
"11760","5629","Media","16","Male","33","Bachelor’s Degree"
"10728","9279","Finance","9","Male","27","High School"
"56207","8549","Technology","41","Female","49","Bachelor’s Degree"
"61041","7838","Finance","21","Male","41","Associate Degree"
"44027","5196","Media","2","Female","27","Bachelor’s Degree"
"44324","8184","Healthcare","2","Female","22","Bachelor’s Degree"
"30266","4522","Education","8","Female","22","Master’s Degree"
"11070","4911","Education","36","Male","50","Bachelor’s Degree"
"73806","8713","Finance","8","Female","20","Bachelor’s Degree"
"36084","9055","Healthcare","9","Female","36","Bachelor’s Degree"
"10766","8721","Finance","10","Male","34","Associate Degree"
"69113","4496","Media","14","Male","38","Bachelor’s Degree"
"39930","5970","Healthcare","6","Female","20","Associate Degree"
"23154","7741","Healthcare","6","Female","42","Master’s Degree"
"73725","9533","Technology","40","Female","48","PhD"
"36925","4738","Education","15","Female","29","Associate Degree"
"11408","5879","Media","6","Female","32","PhD"
"57096","6523","Media","17","Male","26","Master’s Degree"
"41895","6837","Technology","15","Female","48","Bachelor’s Degree"
"21808","6033","Media","31","Male","44","Associate Degree"
"8762","8127","Finance","45","Female","59","Associate Degree"
"49173","8611","Healthcare","17","Female","25","Associate Degree"
"31692","3536","Education","27","Male","43","Associate Degree"
"68269","6205","Media","10","Female","25","Master’s Degree"
"2806","4831","Education","33","Male","55","High School"
"30591","4764","Media","9","Female","18","Master’s Degree"
"37357","5520","Education","30","Male","59","Bachelor’s Degree"
"49333","8482","Healthcare","12","Female","40","Master’s Degree"
"29892","6326","Media","1","Female","22","Bachelor’s Degree"
"66517","4952","Education","17","Female","58","Bachelor’s Degree"
"66253","8976","Healthcare","13","Male","39","Master’s Degree"
"533","4592","Education","29","Male","40","Master’s Degree"
"17365","6389","Media","13","Male","36","Bachelor’s Degree"
"71666","8482","Healthcare","5","Male","19","High School"
"73013","7412","Technology","8","Female","20","Bachelor’s Degree"
"65545","7730","Healthcare","15","Male","45","Master’s Degree"
"14039","5842","Media","10","Male","18","Associate Degree"
"26339","3951","Education","13","Female","32","PhD"
"45072","5784","Media","10","Male","20","Bachelor’s Degree"
"47491","9415","Technology","11","Female","33","Bachelor’s Degree"
"69251","10994","Technology","20","Male","43","PhD"
"41371","9305","Technology","11","Female","32","Bachelor’s Degree"
"28119","11806","Finance","12","Male","37","Associate Degree"
"21395","6113","Media","8","Male","19","PhD"
"45252","9242","Technology","12","Female","20","High School"
"46811","6279","Technology","7","Male","30","Associate Degree"
"33046","10512","Technology","11","Male","40","Associate Degree"
"62819","7909","Healthcare","19","Male","34","Bachelor’s Degree"
"37344","5788","Media","5","Male","55","Master’s Degree"
"37884","7265","Healthcare","20","Female","33","Bachelor’s Degree"
"68477","10661","Finance","18","Male","26","Bachelor’s Degree"
"32903","4811","Education","7","Female","25","Associate Degree"
"14566","5329","Media","12","Male","27","Master’s Degree"
"7008","7153","Healthcare","25","Male","35","Bachelor’s Degree"
"40568","3043","Education","40","Male","50","Bachelor’s Degree"
"18339","9495","Technology","14","Male","50","Associate Degree"
"53500","8151","Technology","4","Male","58","High School"
"63764","7714","Healthcare","22","Female","33","Bachelor’s Degree"
"4886","7628","Finance","11","Male","20","Bachelor’s Degree"
"26495","8486","Technology","9","Male","24","High School"
"34214","3553","Education","2","Male","55","Bachelor’s Degree"
"10370","6063","Healthcare","33","Female","45","Bachelor’s Degree"
"67873","7600","Healthcare","39","Male","50","Bachelor’s Degree"
"44909","3288","Education","1","Male","44","PhD"
"34195","8392","Healthcare","16","Male","59","Master’s Degree"
"71455","7104","Healthcare","21","Female","32","High School"
"51855","3815","Education","3","Female","33","Bachelor’s Degree"
"21420","4328","Education","18","Female","34","Bachelor’s Degree"
"54830","6952","Finance","23","Female","43","High School"
"41286","6369","Media","18","Male","40","Associate Degree"
"21565","8756","Healthcare","1","Male","22","Bachelor’s Degree"
"51355","5532","Technology","9","Male","58","Bachelor’s Degree"
"38941","8673","Technology","34","Male","55","Bachelor’s Degree"
"69899","3891","Education","14","Female","38","Bachelor’s Degree"
"24472","6029","Media","14","Male","27","Associate Degree"
"70945","4137","Education","11","Female","22","High School"
"4017","8081","Healthcare","2","Male","23","Associate Degree"
"17833","6932","Finance","7","Male","29","High School"
"16312","5795","Education","14","Female","57","Associate Degree"
"55211","9191","Technology","47","Male","57","Associate Degree"
"37898","7244","Healthcare","38","Male","46","PhD"
"29564","8405","Technology","6","Male","42","Master’s Degree"
"37402","4968","Media","31","Male","45","High School"
"20371","10442","Technology","23","Female","36","High School"
"33010","6605","Finance","16","Female","26","Associate Degree"
"29598","10730","Technology","9","Female","37","Master’s Degree"
"16530","8622","Finance","6","Female","20","Associate Degree"
"2874","7140","Technology","36","Female","44","Bachelor’s Degree"
"59078","6125","Media","9","Female","23","Bachelor’s Degree"
"3232","7655","Finance","7","Male","28","Associate Degree"
"35125","7049","Finance","10","Male","48","Master’s Degree"
"57726","3752","Education","8","Female","40","Associate Degree"
"1504","7931","Finance","12","Male","46","Bachelor’s Degree"
"32803","6877","Healthcare","41","Female","54","High School"
"25430","9605","Technology","1","Male","47","High School"
"30097","4098","Education","2","Male","38","High School"
"70099","6957","Healthcare","9","Female","23","Master’s Degree"
"58293","6468","Healthcare","29","Male","46","High School"
"18057","6299","Education","14","Male","38","Bachelor’s Degree"
"50515","5154","Education","15","Male","59","PhD"
"25446","5802","Education","11","Male","39","Bachelor’s Degree"
"20659","5329","Education","16","Female","32","Bachelor’s Degree"
"62366","11093","Finance","2","Male","34","Associate Degree"
"29186","7256","Healthcare","1","Female","24","High School"
"34887","8060","Technology","7","Male","19","Bachelor’s Degree"
"2778","6033","Media","16","Male","26","Bachelor’s Degree"
"40241","9216","Technology","3","Female","31","Master’s Degree"
"31345","11515","Finance","4","Female","44","Associate Degree"
"1619","7512","Technology","8","Male","37","Bachelor’s Degree"
"63805","9321","Healthcare","13","Male","30","Associate Degree"
"44300","8766","Technology","4","Female","47","High School"
"74238","9436","Healthcare","33","Male","45","Bachelor’s Degree"
"54879","5415","Media","11","Male","42","High School"
"45188","8762","Technology","18","Female","48","Bachelor’s Degree"
"22927","4453","Education","29","Female","49","Associate Degree"
"30456","4647","Education","7","Female","20","Associate Degree"
"11681","5890","Media","26","Male","42","Bachelor’s Degree"
"65606","9452","Technology","6","Female","39","Master’s Degree"
"53038","8548","Healthcare","3","Male","18","Bachelor’s Degree"
"66282","4628","Education","34","Female","46","Master’s Degree"
"29104","6841","Finance","15","Male","38","Associate Degree"
"9479","4285","Education","18","Female","33","Master’s Degree"
"65550","8351","Finance","10","Male","31","Bachelor’s Degree"
"59722","7419","Healthcare","4","Male","29","Associate Degree"
"58351","7321","Healthcare","3","Female","26","High School"
"63606","11368","Technology","12","Male","29","Master’s Degree"
"67095","4102","Education","7","Female","19","Bachelor’s Degree"
"9831","9090","Healthcare","3","Male","21","Bachelor’s Degree"
"5107","7557","Healthcare","19","Male","47","Master’s Degree"
"48442","7852","Healthcare","17","Male","44","Associate Degree"
"62576","7795","Technology","6","Female","24","High School"
"37299","10508","Technology","33","Female","50","Bachelor’s Degree"
"50134","9487","Healthcare","30","Male","42","Bachelor’s Degree"
"6749","5353","Media","4","Female","24","PhD"
"43974","7343","Healthcare","19","Female","30","High School"
"43610","9173","Technology","19","Female","33","High School"
"23244","8528","Healthcare","10","Female","31","Associate Degree"
"27020","10228","Technology","4","Female","35","High School"
"4388","4918","Education","15","Male","53","Associate Degree"
"58856","5773","Education","17","Male","28","Bachelor’s Degree"
"42687","2989","Education","4","Female","19","PhD"
"68838","6606","Media","7","Female","24","Master’s Degree"
"70466","7973","Healthcare","8","Male","38","Master’s Degree"
"50747","7622","Finance","15","Female","31","Associate Degree"
"6702","8848","Technology","24","Female","32","High School"
"54325","9337","Technology","19","Male","32","Associate Degree"
"8417","7175","Healthcare","13","Male","48","Associate Degree"
"72017","5869","Media","11","Female","37","Associate Degree"
"57636","8077","Healthcare","18","Female","44","Bachelor’s Degree"
"58005","7677","Healthcare","8","Male","24","High School"
"37679","7340","Healthcare","30","Male","51","Bachelor’s Degree"
"28826","7990","Technology","5","Female","23","Bachelor’s Degree"
"1671","8080","Technology","2","Male","58","Bachelor’s Degree"
"40379","8537","Healthcare","35","Female","48","Master’s Degree"
"37902","10207","Technology","22","Male","32","Associate Degree"
"43721","9098","Finance","13","Male","28","PhD"
"74270","7278","Healthcare","7","Male","20","Master’s Degree"
"17438","8743","Technology","42","Male","52","Master’s Degree"
"53940","8904","Technology","3","Female","24","Associate Degree"
"34958","9518","Healthcare","11","Male","34","Bachelor’s Degree"
"34421","6831","Healthcare","37","Male","57","High School"
"52120","5721","Education","28","Male","53","PhD"
"71167","6062","Media","1","Male","24","Master’s Degree"
"4566","4571","Education","4","Male","48","High School"
"73165","5704","Media","5","Male","42","High School"
"41136","10346","Technology","4","Male","19","High School"
"713","9210","Technology","9","Male","19","Associate Degree"
"22380","7114","Finance","2","Male","54","Associate Degree"
"37553","9146","Finance","5","Female","25","Associate Degree"
"55874","9197","Technology","2","Female","31","Associate Degree"
"47635","8882","Technology","3","Male","25","Bachelor’s Degree"
"49049","3828","Education","14","Male","49","Associate Degree"
"2938","9398","Technology","10","Male","22","Master’s Degree"
"46092","15495","Finance","14","Female","24","High School"
"53280","4506","Education","12","Female","32","High School"
"34591","8455","Technology","38","Male","57","PhD"
"44870","7194","Technology","39","Male","49","Bachelor’s Degree"
"3983","8848","Finance","20","Female","43","Master’s Degree"
"73796","9454","Finance","11","Female","27","High School"
"58435","10568","Healthcare","29","Female","42","Master’s Degree"
"52870","8592","Healthcare","9","Male","42","High School"
"65694","2075","Education","7","Female","36","Bachelor’s Degree"
"61008","3775","Education","3","Female","38","Associate Degree"
"29773","10114","Technology","7","Male","33","PhD"
"29910","6612","Media","10","Male","39","Associate Degree"
"49862","6623","Healthcare","1","Female","23","Associate Degree"
"46795","6507","Finance","17","Female","52","Associate Degree"
"44795","9512","Technology","15","Male","53","Associate Degree"
"5069","3620","Education","29","Male","37","Master’s Degree"
"32775","4113","Education","36","Female","59","High School"
"52838","6795","Finance","4","Female","22","Associate Degree"
"41695","6093","Media","2","Male","22","Master’s Degree"
"40596","9017","Finance","13","Male","34","Bachelor’s Degree"
"19737","9203","Technology","22","Female","40","Master’s Degree"
"62731","9910","Healthcare","1","Female","28","Master’s Degree"
"27238","5964","Healthcare","20","Female","29","High School"
"38308","5673","Media","25","Male","47","Master’s Degree"
"71715","4968","Media","31","Female","56","Bachelor’s Degree"
"18356","5217","Education","9","Male","28","Bachelor’s Degree"
"7578","8822","Technology","7","Male","22","Associate Degree"
"47189","9820","Healthcare","8","Male","30","High School"
"2759","6427","Education","8","Female","24","Master’s Degree"
"7636","3739","Education","21","Female","33","Associate Degree"
"39487","8322","Healthcare","4","Female","25","Bachelor’s Degree"
"12430","5682","Education","16","Female","29","Associate Degree"
"56688","4249","Media","3","Male","26","Bachelor’s Degree"
"68130","5971","Media","5","Female","19","High School"
"20291","7571","Healthcare","6","Female","19","Bachelor’s Degree"
"36253","7061","Media","12","Female","20","Associate Degree"
"21617","6061","Finance","16","Male","42","High School"
"39832","4506","Education","27","Male","51","Bachelor’s Degree"
"61025","5754","Media","7","Male","22","High School"
"51893","8157","Finance","39","Male","53","Associate Degree"
"1742","3900","Education","12","Female","29","High School"
"50440","8722","Healthcare","3","Male","21","Associate Degree"
"54005","6038","Healthcare","10","Female","21","Associate Degree"
"59180","5686","Media","14","Male","56","High School"
"46946","3797","Education","6","Male","31","Associate Degree"
"18882","5900","Media","15","Female","29","Bachelor’s Degree"
"44216","7612","Healthcare","14","Male","45","Associate Degree"
"22360","4933","Media","7","Male","22","Bachelor’s Degree"
"8218","4432","Education","2","Male","26","Bachelor’s Degree"
"58615","6960","Healthcare","13","Male","32","Bachelor’s Degree"
"69176","8040","Technology","39","Male","55","Bachelor’s Degree"
"4208","8475","Healthcare","24","Female","50","Master’s Degree"
"42559","11944","Technology","3","Female","19","High School"
"9283","10616","Healthcare","4","Female","56","High School"
"22828","5572","Media","16","Male","55","Master’s Degree"
"30539","8931","Technology","4","Female","18","Bachelor’s Degree"
"4912","8591","Finance","17","Female","57","PhD"
"57755","10670","Technology","8","Female","27","Master’s Degree"
"69926","7054","Technology","8","Male","25","Associate Degree"
"56729","6553","Media","3","Female","38","Bachelor’s Degree"
"58212","8320","Healthcare","11","Female","31","PhD"
"24523","8125","Finance","22","Male","51","Associate Degree"
"69159","7479","Healthcare","21","Male","40","PhD"
"8785","3401","Education","4","Male","56","Master’s Degree"
"64781","6798","Healthcare","1","Male","40","Bachelor’s Degree"
"16308","10186","Finance","16","Male","42","Associate Degree"
"42744","8521","Healthcare","1","Male","44","Associate Degree"
"41600","3166","Education","9","Female","23","High School"
"51144","9157","Healthcare","11","Male","45","Master’s Degree"
"52015","4806","Education","23","Female","50","High School"
"71157","7447","Finance","24","Female","48","Bachelor’s Degree"
"67517","9327","Healthcare","14","Female","52","Associate Degree"
"5331","8632","Healthcare","1","Female","19","Bachelor’s Degree"
"26539","5850","Media","2","Male","49","Master’s Degree"
"25975","8060","Healthcare","6","Male","40","Associate Degree"
"1680","11674","Technology","5","Male","55","Associate Degree"
"21570","6507","Technology","5","Male","41","Bachelor’s Degree"
"49310","9506","Finance","29","Male","43","PhD"
"2745","8460","Technology","48","Female","58","High School"
"52121","5165","Technology","15","Male","25","High School"
"23057","7710","Finance","11","Female","33","Bachelor’s Degree"
"15293","10100","Technology","16","Male","34","PhD"
"41481","9258","Healthcare","12","Male","36","Bachelor’s Degree"
"55314","7995","Healthcare","34","Female","50","Bachelor’s Degree"
"39731","8074","Technology","12","Female","43","High School"
"10709","4430","Education","7","Male","45","Associate Degree"
"64492","11475","Finance","8","Female","36","Master’s Degree"
"41284","5581","Media","4","Female","19","Master’s Degree"
"7714","8056","Finance","14","Male","29","Master’s Degree"
"3086","4838","Education","18","Male","55","Associate Degree"
"46615","10330","Technology","11","Female","27","Bachelor’s Degree"
"24172","8564","Healthcare","2","Male","18","Bachelor’s Degree"
"28980","6479","Healthcare","6","Male","19","Bachelor’s Degree"
"22612","7841","Technology","21","Female","45","Associate Degree"
"62389","11795","Finance","14","Male","25","Associate Degree"
"45111","6670","Technology","34","Female","52","Associate Degree"
"69193","5853","Technology","7","Female","40","Associate Degree"
"46131","5852","Media","29","Female","46","Master’s Degree"
"27466","9046","Technology","5","Female","18","High School"
"15082","6991","Finance","7","Male","39","Bachelor’s Degree"
"13381","6497","Healthcare","27","Female","46","Associate Degree"
"72564","5983","Media","19","Female","29","Master’s Degree"
"1062","5958","Media","15","Male","42","Bachelor’s Degree"
"39167","8832","Technology","11","Female","51","Associate Degree"
"14944","6169","Media","10","Female","23","Associate Degree"
"8672","7529","Technology","3","Male","26","Master’s Degree"
"4776","5978","Media","14","Male","32","Bachelor’s Degree"
"14724","5053","Media","9","Female","54","High School"
"56051","5620","Healthcare","17","Female","29","Associate Degree"
"38992","5417","Media","3","Male","51","Associate Degree"
"17650","9166","Finance","12","Male","23","Bachelor’s Degree"
"12049","7608","Finance","16","Male","36","Master’s Degree"
"65061","7526","Technology","14","Male","44","PhD"
"27018","8121","Technology","22","Male","35","High School"
"15507","8492","Healthcare","44","Male","56","Master’s Degree"
"777","10620","Technology","11","Female","51","Associate Degree"
"57511","4615","Education","20","Female","48","Master’s Degree"
"73787","10295","Technology","25","Female","35","Associate Degree"
"58268","6733","Healthcare","13","Male","25","Master’s Degree"
"23852","5808","Media","11","Male","48","Master’s Degree"
"53410","8877","Healthcare","30","Male","38","Associate Degree"
"69989","5745","Media","4","Female","18","High School"
"44504","7034","Healthcare","40","Female","55","Bachelor’s Degree"
"29440","9056","Healthcare","11","Female","19","Bachelor’s Degree"
"58046","4410","Education","9","Male","21","Associate Degree"
"71276","6168","Media","18","Female","45","High School"
"69226","10095","Technology","17","Female","34","Associate Degree"
"6384","5197","Education","4","Male","21","Associate Degree"
"55541","6314","Media","35","Female","55","Bachelor’s Degree"
"463","5740","Media","16","Female","27","Bachelor’s Degree"
"8107","5005","Education","10","Female","45","Associate Degree"
"39668","8032","Technology","10","Male","20","Master’s Degree"
"20021","9562","Technology","31","Female","46","Associate Degree"
"33648","6255","Finance","14","Female","23","Master’s Degree"
"36281","4110","Education","6","Male","28","Master’s Degree"
"26358","5037","Finance","19","Male","31","Associate Degree"
"34265","5605","Education","9","Male","27","Bachelor’s Degree"
"35545","4453","Education","29","Female","55","High School"
